卦號	卦名	卦辭	關鍵	六十四卦的序列	相關詞	運勢	願望	愛情?關係	婚姻	個性	事業和策略	住宅	行情	旅行	生病?病狀	爻辭1	爻辭2	爻辭3	爻辭4	爻辭5	爻辭6	爻辭7	爻辭8
1	乾	乾。天行健，君子以自強不息。	乾為天是六爻皆陽的全陽之卦。	有天地然後萬物生焉。	"剛健,創始,高尚,統治,命令,偉大,狂暴,忙碌,對普通人為凶卦,過度自信。"	大人物乘風雲而活躍。 擴大時。	"對普通人來說期望太高,有空轉的疑慮。因為貪婪會變成失望,所以要退而求自保。"	"彼此的主張太強烈,不和睦。 現在最好抑制一切。"	"對彼此期望太高而難以達到共識,。 即使婚後，尤其是女方特別會發生強烈的衝突。也有可能分離。"	"剛健,積極的,自尊心強,領導力強,傲慢。"	超過能力的擴張是沉重的負擔。 回到原來的狀態會比較好。	超過必要的新建築和擴建應暫停。搬遷宜推遲為吉。	"如果低點持續，行情將落到最低點,。有上升趨勢的將不停上漲,但不要過於倉促的判斷。"	旅遊是麻煩的，凶。公共的東西和有用處的東西，吉。	"頭痛,腦出血,頭部受傷,胸部?心臟疾病,骨病(乾是骨,坤是肉),大熱。注意不要忽視治療,因為疾病可能會急劇變化。"	"* 從底部計數,九表示陽?六表示陰(例如「初九」表示最底的陽的爻)"	"初九 潛龍勿用。 （一條象徵陽的龍潛伏在底部位置,不能移動。 ） →切勿躁進,即使有力量也不要行動,凡事應當靜待時機。"	"九二 見龍在田，利見大人。 （一條潛伏在地下的龍出現了。 像一個偉大的人一樣保持你的美德。 ） → 這時最好能積極主動,以獲得大人物最大的信任。"	九三 君子終日乾乾，夕惕若，厲無咎。 （君子整日努力不懈怠、埋頭苦幹，夜晚更要自我反省警惕。 這樣注意的話是雖處於危險狀態但可免於罪咎 ） → 繼續鑽研，更努力充實不要怠惰。小心不要犯錯。	"九四 或躍在淵，無咎。 （龍是飛還是不飛,一直沒有下定決心，就這樣一直在深淵。看清形式，雖有進退兩難的窘境，至少可以免於罪咎。） → 迷惑或懷疑,但仍沿路走。是進退和決斷的最重要的時候。"	"九五 飛龍在天，利見大人。 （龍得時而飛於天。像一個偉大的人一樣保持你的美德。 ） → 當運氣好的時候。發揮你的才能,並取得成果。然而,它對普通人而言是重負。"	"上九 亢龍，有悔。 （意指居高位的龍，此有高傲之意。過猶不及，龍上升得太多,不能下降。如果移動將會後悔。 ） → 進一步擴張是失敗的根源,因此應努力維持現狀。捨棄慾望,保持謙卑的感覺。"	用九 見群龍無首，吉。 （見到一整群的龍，沒有領頭的。吉。不試圖成為領頭是好事。 ) → 用剛強的力量試圖成為領頭會招凶。謙遜和保持平穩關係的態度為吉。 ※ 只賦予乾為天和坤為地用九?用六的辭。這是使用這兩卦進行判斷並行動時應該注意的原理原則。
2	坤	坤、元亨。利牝馬之貞。君子有攸往、先迷、後得主利。西南得朋、東北喪朋。安貞吉。	坤為地是六爻皆為陰的全陰之卦。	有天地然後萬物生焉。	柔順、服?、?厚、?容、勞苦、多?、常人、平凡、維持現狀	"猶豫不決,有很多照顧需要操勞的時期。"	通過跟隨長輩，逐漸實現。 不斷持續努力。	缺乏活力單調的關係。雙方都沒有進展。需要明確地表示。	無法決斷，難以達成共識。整理原由。婚後是平凡安穩的生活。	內向的被動性格。 像一個家庭婦女。		即使有一些不滿也要忍耐。 擴建或改造是可以的。還不是搬遷的好時候。	低落不久後將會上升，現在是上升波瀾的瓶頸。難以預料。	"平安的旅程。西南方的話有同行者為吉,東北方的話一個人為吉。回家鄉，吉。"	"憂鬱、健忘症、過勞、胃腸、脾臟、肝臟等腹部疾病、皮膚病。病勢不好不壞，穩定，病勢沒有惡化,治療也沒有進展。 精力很重要。"	"* 從底部計數,九表示陽?六表示陰(例如「初九」表示最底的陽的爻)"	"初六 履霜堅冰至。 （腳下踩著秋霜，顯示寒冬已近，將會結成堅硬的冰。 ） → 從小事開始,也會變得難以照顧。有衰運的跡象。重要的是要謹慎,不要忽視。"	"六二 直方大，不習無不利。 （坤代表的地面是筆直的,方形的,大。有這種美德的話,即使沒有去學習,無論向哪走也不會有不好的事情。） → 獲得長輩的信任,可以看到良好的進展。希望成真,看到快樂時。"	"六三 含章可貞。或從王事，無成有終。 （內含文章之美而可以以此安定自守，但或者也可以選擇跟隨於王者做事，雖不能有所成就但也可以有個歸宿。 ） → 即使有天賦和能力,也不要炫耀,應謙遜。能做到是因為有很大的智慧。再忍耐中有進展。"	"六四 括?，無咎無譽。 （將袋口綁緊，比喻人應當謹言慎行，以求得沒有罪咎。） → 不張揚地展示你的天賦和能力。需了解平穩的價值。沒有重大的失敗,也沒有特別的成果。"	"六五 黃裳，元吉。 （大地黃的衣裳，黃裳比喻性情柔順而中庸。六五柔中，又處尊位，有美德而能自然表現於外。 ） → 即使有天賦,也不要驕傲,即使有力量,也不要炫耀,服從長輩是好事。不要著急,以冷靜和寬容的態度去做事。"	"上六 龍戰于野。其血玄黃。 （當陰上升,並變得活躍時,不能不與陽(=龍)戰鬥。陰陽都受到傷害,代表天的黑色和代表地的黃色血液流淌。 ） → 忘記自己的本分,好高騖遠,結果產生衝突。瀕臨破產和落魄。通過抑制憤怒和自我警告來求得平安。"	"用六 利永貞。 （宜於永遠貞定。 ) →全陰的坤為地有柔順和謙虛的性質,抑制了讓人感受到陽的自我主張,通過不變可以喚回吉。 ※ 只賦予乾為天和坤為地用九?用六的辭。這是使用這兩卦進行判斷並行動時應該注意的原理原則。"
3	屯	屯、元亨。利貞。勿用有攸往。利建侯。	"乾為天,坤為地的二掛相交後,所產生的卦象就是水雷屯。"	盈天地之間者唯萬物。故受之以屯。屯者盈也。屯者物之始生也。	"起頭困難,困擾,痛苦,急躁,耐心,前有障礙。"	開始任何事情都有困難。克服困難，努力是必要的。	"有很多麻煩和困難,但忍耐之後願望會成真。"	"有阻礙,暫時不能按自己所想的進行。獲得良好的理解是好事。"	"很難取得進展。 即使結婚了,短時間內還是有困難。在耐心之後成立。"	"有很多隱藏在內在的東西,內向的性格。為有天賦但無法發揮而痛苦。"		當有困擾的時候。 新建築不會朝理想的方向前進。	"環境和材料不好,但欲跌而未跌。有逐漸上升的預兆,但請保持警惕。"	"旅行中容易出現問題。如果可能的話,最好改期。"	消化不良、腎臟、腹瀉、女性荷爾蒙紊亂、兒童癲癇、行走困難等疾病。	"* 從底部計數,九表示陽?六表示陰(例如「初九」表示最底的陽的爻)"	"初九 磐桓。利居貞。利建侯。 （難以前進,猶豫不決。 堅持正確的態度是好的。 與有影響力的合作者建立關係。 ） → 前方有困難。最好不要擅自採取行動,不如說是不要採取行動較佳。以謙遜的態度與合作者建立良好的關係為好。"	"六二 屯如、邅如、乘馬班如。匪寇婚媾。女子貞不字、十年乃字。 （人馬聚集而盤旋不進，騎著馬在原地打轉。來者不是盜賊，而是來求婚者。女子因為守貞，因此一直未能懷孕生子。十年之後，才終於婚合而懷孕生子。） → 在困難中進退兩難,無法解決。通過持續怒力不輸給困難,花時間好運將會到來。女人的婚姻也需要時間。"	"六三 即鹿無虞。惟入于林中。君子幾不知舍。往吝。 （到山林裡打獵，沒有守山林的人帶路就貿然進入，其危險可知。最好能知難而退。若一意前往，將自取其咎。 ） → 失去目標,努力空轉的時候。一旦意識到錯誤,就回頭看。如果強迫自己前進,會陷入困境。"	"六四 乘馬班如。求婚媾、往吉無不利。 （騎著馬在原地打轉，想要求婚合。勇往直前則吉，無所不利。） → 在進退中猶豫不決的時候,最好與現在的合作者合作。向晚輩求婚為好。"	"九五 屯其膏。小貞吉、大貞凶。 （應施捨的恩典,但很不情願。如果是小事的話,只要保護正道為吉,但如果是大事的話，即使捍衛正道也不能免於凶。 ） → 才華橫溢,但不被時機眷顧。事情不會像想像的順利。小小的希望會成真,但是如果你強迫自己做大事,你會感到挫折。最好等待時機。"	"上六 乘馬班如。泣血漣如。 （騎著馬在原地打轉乾著急，痛哭流涕至於泣血不止。 ） → 不備時機眷顧,對進退感到痛苦和悲傷的時候。應本著誠意努力扭轉現狀,而不是嘗試新事物。"	
4	蒙	蒙、亨。匪我求童蒙、童蒙求我。初筮告。再三瀆。瀆則不告。利貞。	"山（?)下有水（?）,一開始是小溪,最後是一條大河。"	屯者盈也。屯者物之始生也。物生必蒙。故受之以蒙。	蒙昧、幼稚、稚拙、初衷、初步、迷失方向、因缺乏思考而失敗、努力與助力的加成效果、擔心小孩。	剛開始一點也不明顯的事也逐漸發展。目前的學習將極大地影響未來的吉凶。	"沒有制定方針,現在不成馬上實現。當付出努力的時候。最好聽從長輩的建議。"	"因為人性不成熟,所以有很多麻煩,不能變得親密。由於家庭原因,它可能無法取得進展。"	"有一個障礙和麻煩,沒有浮出水面。如果就那樣結婚了,前景不佳。為時過早而推遲是有好處的。"	"感情是厚實和真誠的,但有某些地方,缺乏理解。"		"房子有很多的不足。特別需注意漏水。在搬遷的情況下,最好暫時暫停。"	"沒有好材料,將繼續低迷,但從長遠來看,這是有希望的。如果要出手的話,暫時須慎重。"	"有操心事,最好停止。在旅途經常發生不愉快的事情,天氣也不好。"	"神經官能症,神經衰弱,耳鼻病,肺病,小腸疾病,腹瀉,手腳冰冷,腎病,四肢疼痛,動脈硬化,女性荷爾蒙紊亂。"	"* 從底部計數,九表示陽?六表示陰(例如「初九」表示最底的陽的爻)"	"初六 發蒙。利用刑人。用說桎梏、以往吝。 （啟發蒙昧無知的人，宜於實施刑罰於人，以刑罰為教育之手段。如果反過來赦免他們，讓他們脫掉腳鐐和手銬，以此縱容下去會造成悔恨。 ） → 遵守法律、規則和承諾,堅持正確的道路是很重要的。 事情的好壞需十分明確判斷時。 妥協是後悔的之本。 然而,若過於嚴格,就有可能造成怨恨。"	"九二 包蒙、吉。納婦、吉。子克家。 （包容童蒙,是好。 (把六五看做婦人)接受妻子的蒙昧是好。(把六五看做雙親) 有能幹的兒子能夠幫助持家。 →九二下卦坎中，剛中而應於六五，接受六五的蒙昧是好。雖有不走運的時候，但須放寬胸懷。看品德好的人結良緣為好。 *在六十四卦中,沒有對應的爻，分別規定「初×四」、「二壘×五壘」和「三壘×上壘」。 這稱為應爻。"	"六三 勿用取女。見金夫、不有躬、無攸利。 （不宜娶妻。因女子見到有錢男人就失身，這女的沒什麼好的。 ） → 只為利己的政策是錯誤的,失去信譽,跌倒,失敗。不深思熟慮,按照自己的慾望衝動行事是不行的。家庭變得不安穩的時期。婚姻為大凶。"	"六四 困蒙。吝。 （六四自身的陰爻沒有力量,成為應爻的初六也無助於受蒙昧而苦的狀況。如果得到這個爻,應該感到羞愧。） → 由於思慮不周而失敗時。注意人際關係的中斷和孤立無援。找一位好老師,接受啟蒙運動,並努力學習。"	"六五 童蒙、吉。 （六五在高處,但請求應爻的九二的教導。 這種蒙昧但純潔的態度是好。 ） → 有一名好老師,磨練你的能力,提高你的技能。接受智者的教導,消除自己的缺點,擺脫困難。"	"上九 擊蒙。不利為寇、利禦寇。 （因為在最高位置有陽爻,所以有足以攻擊蒙昧的剛強。 但是,過度越界攻擊(盜賊)是不好的。相反,能夠防止外部攻擊是好。 ） → 試圖消除蒙昧是好的,但很容易走得太遠。當你面對對方時,要以寬容和熱情來理性地回應。小心盜竊和暴徒等危險。"	
5	需	需，有孚。光亨。貞吉。利涉大川。	"即使水（?）在天（?）上,也不下雨,每個人都在等待下雨的狀態。"	蒙者蒙也，物之稚也。物稚不可不養也，故受之以需。	"湖中之龍,等待機會,前途困難,自重,耐心,為時尚早"	"現在,應該積累能力,培養智慧,等待機會。需要有空間的態度,不要著急。"	"等待時機成熟,然後繼續前進。 積極性應被抑制,並被動地競爭。稍等一會,就會成真。"	"關係不會輕易加深,如果不耐煩,以強迫的方式的話，會出問題。"	"由於沒有得到周遭的理解與合作,沒有進展。冷靜下來,等待機會,自然而然會完整。"	內有隱藏勇氣的雄心。耐心等待機會的人。堅定的類型。 未來成長股。		新居?改建?搬家、最好暫停。還不到時機。	"有上升的跡象,但目前還不是時候。等一等,可以看到飛漲的勢頭。"	"強行的話會有意想不到的麻煩,。最好延期。在旅途,會遭遇惡劣天氣或擔心食物中毒。"	頭痛、消化不良、中耳炎、肺部疾病、胃腸道疾病、受傷等。	"* 從底部計數,九表示陽?六表示陰(例如「初九」表示最底的陽的爻)"	"初九 需于郊。利用恒。無咎。 （滯留於郊外，宜有恒心，沒有罪咎。） → 放棄任何前進或冒險,靜靜地等待機會到來。保護你的日常工作,不要把重心轉向別的事情。"	"九二 需于沙。小有言，終吉。 （滯留於沙地上，遭到輕微的言語中傷，最後為吉。） → 有天賦和能力,但還為時過早。專心等待。避免與他人爭吵、親和的態度很重要。"	九三 需于泥。致寇至。 （滯留於水邊的泥濘，引來了盜賊。 ） → 一定會受到嚴重的干擾。抑制急躁，保持謙遜的態度。盜竊、疾病和水難可能由他自己的言行引起。	"六四 需于血。出自穴。 （滯留於溝瀆之中，等敵寇離開之後，離開所躲藏的洞穴。） → 足以見血般的危險。不僅要等待,而且要堅守現狀,祈禱安全。"	"九五 需于酒食。貞吉。 （滯留於酒食，享受酒食，貞定為吉。 ） → 等待到現在,當願望終於成真。不要因為感到安心而心動,以謙遜的態度祈禱不要忘記本分。"	"上六 入于穴。有不速之客三人來。敬之終吉。 （因逃難而躲入洞穴之中，有不速之客三人來，禮敬他們，最後則吉。 ） → 陷入困境,但如果沒有失去禮儀,會得到意想不到的助力。尊重他人的智慧和才能是很重要的。"	
6	訟		上面的乾（?）用強權抑制下邊，下邊的坎（?）無法忍受苦難而向上上訴而鬥爭。	需者?食之道也。?食必有訟。故受之以訟。	訴訟、爭議、分歧、背叛、叛逆、和解	有很多口角和爭吵，很容易缺乏人際關係的圓滑。特別注意與大人之間的衝突。 輸才是贏。	許多差異是難以實現的。	由於意見分歧和想法的偏差，關係不好。	不管怎樣，有很多衝突。不斷分居，恐怕會離婚。最好拒絕婚事。	忤逆他人，很難與周圍環境相合。理性的性格。有很多敵人		很容易發生租賃相關的糾紛。	材料和價格不相符。	如果強行實施，將產生差異。	頭痛、神經官能症、腹瀉、失眠。								
7	師	師，貞。丈人吉。無咎。	下卦（?）的陽爻被推到大眾之下，表示成為統帥，並前往戰鬥。	訟必有?起。故受之以師。	戰鬥、率眾戰爭、領導人群、緊急狀態	一個有力量的人領導著周圍的人肇事。	有很多擔心事、願望不會實現。合乎身分的話會有徵兆。	一種像是隱密進行的戀愛。	對方有外遇，如果拒絕則無事。	好勝心很旺盛。		在目前的住房中，得不到平安。	有波盪的狀況而有下降的跡象，缺乏研究是一個很大的損害。	在團體旅行時，請注意領導人員的能力。	如中耳炎、腹痛、結石、腎病、月經不順等。								
8	比	比，吉。原筮，元永貞，無咎。不甯方來。後夫凶。	水在地上，水和地很親近。	師者?也。?必有所比。故受之比。	親和、友誼、平安、順從上級、有很多照顧困難、快速是吉、延遲是凶、犯桃花	通過加深與周圍人的友誼，招來了運氣。	如果友誼是敦厚和廣泛的，通過介紹等實現願望。	最好儘快加深友誼。彼此吉。	很幸運被姻緣眷顧，所以在選擇上猶豫不決，但應該儘快做出決定。	給人印象是柔和的，被別人信任和喜歡的人。		沒有特別的問題，但不被陽光眷顧。	雖然在低位保持穩定，但只要是績優股的話，在長期政策中繼續保持為好。	獨自旅行不好，但團體旅行等多人旅行是好事。	眼病、胃痛、食物中毒、腹膜炎、胸痛、慢性疲勞等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 有孚比之、無咎。有孚盈缶、終來有它。吉。 （保持初心的話，沒有罪咎。誠意有如盛滿瓶的水，最後人們會附和，意外的之喜也會造訪也說不定。） → 不要忘記初心保持正確的態度。 會有一個來自圓滑的人際關係的意想不到的好消息。真誠地對待別人是有好處的。	六二 比之自內。貞吉。 （與親近者加深和睦是好事，守正為吉。） → 不需要在遙遠的地方尋找有才華的人，重要的是與熟悉的人加深和睦。	六三 比之匪人。 (對方不是應該親近的人。是惡人，凶。) →對方是一個不值得交際的人。有可能遭受損害。注意傾聽第三方的意見。	六四 外比之。貞吉。 （最好停止與不正當的人交際，親近比自己年長的聰明人。通過這樣做，可以堅持正確的道路。） → 通過與上層人物接觸來開運。不需要在意第三方的眼光。	九五 顯比。王用三驅失前禽。邑人不誡。吉。 （王者之親比，極其顯耀。就像國王的狩獵一樣，只包圍三個方向，不追逐逃跑的獵物，只捕捉走來的獵物。國王領地的村民也無須保持警戒。 這是一個吉。） → 不拒絕過來的，不追逐那些離開的人。以寬容的美德對待大眾，贏得信任和人望的時候。 有很多的照顧困難，但成果是巨大的。如果貪婪地伸出手來，會失去利益。	上六 比之無首。凶。 （親比而沒有一個頭，凶。） → 由於封閉的態度，沒有親密的朋友。孤立的狀態。 改變心態再次積極與人建立友誼的時候。	
9	小畜	小畜，亨。密雲不雨。自我西郊。	雖然一陰擋住了五陽，但長期無法阻擋，只能阻擋一點點。	比者比也。比必有所畜。故受之以小畜。	停止一點點、積累一點點、不能前進、一點訓練、學術、等待機會、挑剔、欲求不滿、憂鬱。	當不能像想像的一樣前進時，注意小事故。 停滯不前的狀態。	會有一點障礙，但最終會成真。	為時過早。 溝通有障礙，不能如自己所願。	即使想要完成婚事，也很難做到。	內在是剛健，外在是柔和的。		搬遷是好的，但如果是長住的話是不足的。	雖然有上升的趨勢，但似乎有點障礙而有稍微休息的樣子。	小心小麻煩。	氣虛、頭痛、歇斯底里、絕食、肺結核、咳嗽等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 復自道。何其咎。吉。 （走正道，回歸走自己的路，有什麼罪咎可言？吉。） → 通過恢復自己的原始道路來獲得吉。現在不是向前邁進的時候。不合理的前進可能導致妨害和損失。	九二 牽復。吉。 （被正確的人牽著，回到原來的道路是好。 這樣做的話，結果是吉。） → 被朋友阻止前進，安全的時候。如果正在計劃某事，會發生障礙而中止或延期。 計畫大事，通過調整內部可以發展未來的運氣。	九三 輿說輹。夫妻反目。 (固定車輪軸的革繩脫落了，夫妻兩人反目成仇。) → 儘管條件不好，但必須向前邁進，受到損害。當關係被輕視時，衝突就會發生。現在可以保持不動，磨練你的技能。注意婚姻關係和交通事故。	六四 有孚。血去惕出。無咎。 （通過陰爻得到陰位，帶有誠意的話危險和恐懼也會消失。沒有怨懟。） → 即使面對危險也不要著急，需要有空間去接受它。如果真誠回應就會沒事。可以借用長輩的力量來解決它。	九五 有孚攣如。富以其鄰。 （有誠信又能提攜他人，有財富而能與鄰居分享。） → 與周圍的人親密接觸是好的時候。 當有經濟利益時，與他人分享而不是壟斷是很重要的。	上九 即雨即處。尚德載。婦貞厲。月幾望、君子征凶。 （雨已經下了，也已經停了。陽尊崇陰的德性，陰的德性充滿而抑制陽。以夫妻來說，就是妻制衡夫般的不容易，近月圓之時，是可以匹敵太陽的存在。君子出征不利，凶。） → 在這之上的前進被阻止和妨害。當一個不應該站在上面的人控制了現場時，它就會倒下。不要大意，謀求充實內部。	
10	履	履虎尾不咥人。亨。	如果跟在剛健的乾（?)之後行走，就會擺脫危機。如果有讓人開心的兌（?）的態度，會被寵愛。	物畜然後有禮。故受之以履。	禮貌、抑制、柔順、跟從有實力的人、長輩的寵愛。	無論做什麼，應該採取謙遜的態度。尤其是對上頭的人，要服從。	如果過度自信地推行，就不會實現。	有尊重上司的意思，如果柔和接觸，就會實現。	像是乘坐著轎輦般的婚事。 不是門當戶對，但會幸福。	溫柔且有禮貌，但說話方式很爽朗。		不能新建。 擴建和改建如果是小規模的話，良。	注意突然下降，雖然有沿著上升的趨勢。	需要有充分的準備和規劃。	精神病、口腔疾病、胸部疾病、心臟病、咽喉、胃腸道疾病、性病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 素履。往無咎。 （遵循一直以來的道路。 沒有罪咎。） → 需以自己的本來的樣子處理事情的時候。最好不要被第三方的意見所迷惑，並牢牢地保護你的本職。如果同時進行，就無法順利。	九二 履道坦坦。幽人貞吉。 （如果走在平坦道路上的是像隱士般的人物的話，守護正道，吉。） → 做應做的，像往常一樣安靜。匆忙、和往常不同是不好的。剩下的事順其自然為好。	六三 眇能視、跛能履。履虎尾咥人。凶。武人為于大君。 (一眼盲也能看見，跛腳卻想去踩。這個狀態去踩老虎的尾巴，那個人會被咬吧。所以是凶。如一個武人般殘忍的人的話可以有大成就。) → 由於過度自信經歷了挫折和失敗。如果保持謙虛的態度，無事。	九四 履虎尾。愬愬終吉。 （即使踩在老虎的尾巴上，如果從平常就小心不要犯錯的話，最終也會是吉。） → 以謹慎的態度處理事情時。 必須避免大意或輕率的行為。在預想危險或損害時，會無法冷靜下來。	九五 夬履。貞厲。 （毫無疑問，毫不猶豫地踐踏自己。即使這種行為是守著正確的道路，也存在危險。） → 太嚴格了，被別人反感，並受到指責。不要單獨行動，而要與眼前有才能的人合作為好。	上九 視履考祥。其旋元吉。 （神會看到人們踐踏的行為，使禍福的徵兆現實化。如果這種舉止從頭到尾都不是浪費，那大吉。） → 反思自己的言行，並在此基礎上採取行動，一切都進展順利。 接受前人的智慧和第三方的意見也很重要。 需注意自我主張會讓運氣不好。	
